Stock,Model,Accuracy,Precision,Recall,F1_Score,AUC
AAPL,Random Forest,0.5,0.5625,0.144,0.22929936305732485,0.5111794871794872
AAPL,Gradient Boosting,0.4669421487603306,0.4523809523809524,0.152,0.2275449101796407,0.5031111111111111
AAPL,XGBoost,0.47107438016528924,0.46808510638297873,0.176,0.2558139534883721,0.487931623931624
AAPL,LSTM,0.5225225225225225,0.5169082125603864,0.9469026548672567,0.66875,0.4991475196882358
AAPL,Transformer,0.509009009009009,0.509009009009009,1.0,0.6746268656716418,0.5071040025980352
AAPL,Voting (Hard),0.45867768595041325,0.44,0.176,0.25142857142857145,
AAPL,Voting (Soft),0.4669421487603306,0.45,0.144,0.21818181818181817,0.45784615384615385
AMZN,Random Forest,0.4462809917355372,0.5714285714285714,0.08759124087591241,0.1518987341772152,0.49356969064998263
AMZN,Gradient Boosting,0.45454545454545453,1.0,0.0364963503649635,0.07042253521126761,0.4915537017726799
AMZN,XGBoost,0.512396694214876,0.5664335664335665,0.5912408759124088,0.5785714285714286,0.4994786235662148
AMZN,LSTM,0.5855855855855856,0.5806451612903226,0.9921259842519685,0.7325581395348837,0.5484459179444675
AMZN,Transformer,0.5045045045045045,0.5765765765765766,0.5039370078740157,0.5378151260504201,0.5027766266058848
AMZN,Voting (Hard),0.44214876033057854,0.5625,0.06569343065693431,0.11764705882352941,
AMZN,Voting (Soft),0.43388429752066116,0.5,0.072992700729927,0.12738853503184713,0.4402502606882169
MSFT,Random Forest,0.5082644628099173,0.8695652173913043,0.14705882352941177,0.25157232704402516,0.5721767480577136
MSFT,Gradient Boosting,0.4669421487603306,0.6666666666666666,0.10294117647058823,0.17834394904458598,0.6077968923418425
MSFT,XGBoost,0.48760330578512395,0.75,0.1323529411764706,0.225,0.5982935627081022
MSFT,LSTM,0.4369369369369369,0.0,0.0,0.0,0.5562061855670104
MSFT,Transformer,0.6126126126126126,0.7191011235955056,0.512,0.5981308411214953,0.6241649484536083
MSFT,Voting (Hard),0.47520661157024796,0.7368421052631579,0.10294117647058823,0.18064516129032257,
MSFT,Voting (Soft),0.4834710743801653,0.7391304347826086,0.125,0.2138364779874214,0.6178551609322975
GOOGL,Random Forest,0.5165289256198347,0.5388349514563107,0.8345864661654135,0.6548672566371682,0.48892874387804375
GOOGL,Gradient Boosting,0.4462809917355372,0.49572649572649574,0.43609022556390975,0.464,0.45492170793957376
GOOGL,XGBoost,0.5330578512396694,0.5480769230769231,0.8571428571428571,0.6686217008797654,0.47899565427329793
GOOGL,LSTM,0.5495495495495496,0.5572916666666666,0.8770491803278688,0.6815286624203821,0.465
GOOGL,Transformer,0.545045045045045,0.5483870967741935,0.9754098360655737,0.7020648967551623,0.4695081967213115
GOOGL,Voting (Hard),0.5247933884297521,0.5483870967741935,0.7669172932330827,0.6394984326018809,
GOOGL,Voting (Soft),0.5454545454545454,0.5649717514124294,0.7518796992481203,0.6451612903225806,0.5216941436159205
JPM,Random Forest,0.48760330578512395,0.4953271028037383,0.8688524590163934,0.6309523809523809,0.4785519125683059
JPM,Gradient Boosting,0.5247933884297521,0.5164319248826291,0.9016393442622951,0.6567164179104478,0.4900273224043716
JPM,XGBoost,0.5,0.5024154589371981,0.8524590163934426,0.6322188449848024,0.4969603825136612
JPM,LSTM,0.5180180180180181,0.5117370892018779,0.9732142857142857,0.6707692307692308,0.5173701298701299
JPM,Transformer,0.5045045045045045,0.5045045045045045,1.0,0.6706586826347305,0.5
JPM,Voting (Hard),0.48760330578512395,0.4942528735632184,0.7049180327868853,0.581081081081081,
JPM,Voting (Soft),0.48760330578512395,0.49404761904761907,0.680327868852459,0.5724137931034483,0.4793715846994536
